n,method,time
100,naive,2.000000000000000041633e-02
100,better,1.000000000000000020817e-02
100,blas,0.000000000000000000000e+00
100,naive,1.000000000000000020817e-02
100,better,2.000000000000000041633e-02
100,blas,0.000000000000000000000e+00
100,naive,1.000000000000000020817e-02
100,better,1.000000000000000020817e-02
100,blas,0.000000000000000000000e+00
100,naive,2.000000000000000041633e-02
100,better,1.000000000000000020817e-02
100,blas,0.000000000000000000000e+00
100,naive,1.000000000000000020817e-02
100,better,2.000000000000000041633e-02
100,blas,0.000000000000000000000e+00
100,naive,1.000000000000000020817e-02
100,better,1.000000000000000020817e-02
100,blas,0.000000000000000000000e+00
100,naive,1.000000000000000020817e-02
100,better,1.000000000000000020817e-02
100,blas,0.000000000000000000000e+00
100,naive,2.000000000000000041633e-02
100,better,1.000000000000000020817e-02
100,blas,0.000000000000000000000e+00
100,naive,1.000000000000000020817e-02
100,better,1.000000000000000020817e-02
100,blas,0.000000000000000000000e+00
100,naive,1.000000000000000020817e-02
100,better,1.000000000000000020817e-02
100,blas,1.000000000000000020817e-02
200,naive,1.000000000000000055511e-01
200,better,8.999999999999999666933e-02
200,blas,0.000000000000000000000e+00
200,naive,8.999999999999999666933e-02
200,better,1.000000000000000055511e-01
200,blas,1.000000000000000020817e-02
200,naive,8.999999999999999666933e-02
200,better,1.000000000000000055511e-01
200,blas,1.000000000000000020817e-02
200,naive,1.000000000000000055511e-01
200,better,1.000000000000000055511e-01
200,blas,1.000000000000000020817e-02
200,naive,1.000000000000000055511e-01
200,better,1.000000000000000055511e-01
200,blas,1.000000000000000020817e-02
200,naive,1.000000000000000055511e-01
200,better,1.000000000000000055511e-01
200,blas,1.000000000000000020817e-02
200,naive,1.000000000000000055511e-01
200,better,8.999999999999999666933e-02
200,blas,1.000000000000000020817e-02
200,naive,1.000000000000000055511e-01
200,better,8.999999999999999666933e-02
200,blas,0.000000000000000000000e+00
200,naive,8.999999999999999666933e-02
200,better,1.000000000000000055511e-01
200,blas,1.000000000000000020817e-02
200,naive,8.999999999999999666933e-02
200,better,1.000000000000000055511e-01
