Column1,Column2,Column3
80.0,0.0008157,7.2e-6
80.0,2.2e-6,3.1e-6
80.0,1.0e-7,1.1e-6
80.0,1.0e-7,1.0e-6
80.0,0.0,1.2e-6
80.0,1.0e-7,1.0e-6
80.0,0.0,1.2e-6
80.0,0.0,1.1e-6
80.0,1.0e-7,1.0e-6
80.0,1.0e-7,1.0e-6
160.0,1.0e-7,0.0004483
160.0,4.0e-7,4.15e-5
160.0,2.0e-7,5.4e-5
160.0,4.0e-7,4.9e-5
160.0,3.0e-7,4.95e-5
160.0,5.0e-7,4.13e-5
160.0,3.0e-7,4.47e-5
160.0,3.0e-7,5.0e-5
160.0,4.0e-7,4.67e-5
160.0,1.3e-6,4.46e-5
240.0,4.0e-7,3.91e-5
240.0,4.0e-7,4.62e-5
240.0,3.0e-7,5.15e-5
240.0,6.0e-7,5.59e-5
240.0,4.0e-7,6.37e-5
240.0,4.0e-7,4.78e-5
240.0,4.0e-7,5.3e-5
240.0,3.0e-7,5.23e-5
240.0,4.0e-7,5.27e-5
240.0,4.0e-7,5.19e-5
320.0,4.0e-7,5.37e-5
320.0,3.0e-7,9.53e-5
320.0,9.0e-7,0.000111
320.0,1.6e-6,8.11e-5
320.0,8.0e-7,7.01e-5
320.0,7.0e-7,6.15e-5
320.0,1.4e-6,6.02e-5
320.0,4.0e-7,6.2e-5
320.0,3.0e-7,6.62e-5
320.0,4.0e-7,6.66e-5
400.0,1.0e-6,9.9e-5
400.0,5.0e-7,6.69e-5
400.0,4.0e-7,7.58e-5
400.0,5.0e-7,7.61e-5
400.0,4.0e-7,7.51e-5
400.0,4.0e-7,7.75e-5
400.0,4.0e-7,0.0001011
400.0,3.0e-7,7.79e-5
400.0,3.0e-7,7.91e-5
400.0,3.0e-7,8.58e-5
480.0,4.0e-7,0.0001182
480.0,3.0e-7,0.0001292
480.0,5.0e-7,0.0001063
480.0,3.0e-7,0.0001118
480.0,3.0e-7,0.0001431
480.0,2.8e-6,0.0001324
480.0,1.6e-6,0.0002162
480.0,1.4e-6,0.0001195
480.0,1.8e-6,0.0001094
480.0,1.5e-6,0.0001356
560.0,7.0e-7,0.0001667
560.0,2.0e-6,0.0001691
560.0,2.1e-6,0.0001564
