n,method,time
100,naive,0.000000000000000000000e+00
100,better,0.000000000000000000000e+00
100,blas,0.000000000000000000000e+00
100,naive,0.000000000000000000000e+00
100,better,0.000000000000000000000e+00
100,blas,0.000000000000000000000e+00
100,naive,0.000000000000000000000e+00
100,better,0.000000000000000000000e+00
100,blas,0.000000000000000000000e+00
100,naive,0.000000000000000000000e+00
100,better,0.000000000000000000000e+00
100,blas,0.000000000000000000000e+00
100,naive,1.000000000000000020817e-02
100,better,0.000000000000000000000e+00
100,blas,0.000000000000000000000e+00
100,naive,0.000000000000000000000e+00
100,better,0.000000000000000000000e+00
100,blas,0.000000000000000000000e+00
100,naive,1.000000000000000020817e-02
100,better,0.000000000000000000000e+00
100,blas,0.000000000000000000000e+00
100,naive,0.000000000000000000000e+00
100,better,0.000000000000000000000e+00
100,blas,0.000000000000000000000e+00
100,naive,0.000000000000000000000e+00
100,better,0.000000000000000000000e+00
100,blas,0.000000000000000000000e+00
100,naive,0.000000000000000000000e+00
100,better,0.000000000000000000000e+00
100,blas,0.000000000000000000000e+00
200,naive,2.000000000000000041633e-02
200,better,1.000000000000000020817e-02
200,blas,1.000000000000000020817e-02
200,naive,2.000000000000000041633e-02
200,better,1.000000000000000020817e-02
200,blas,1.000000000000000020817e-02
200,naive,1.000000000000000020817e-02
200,better,1.000000000000000020817e-02
200,blas,1.000000000000000020817e-02
200,naive,2.000000000000000041633e-02
200,better,0.000000000000000000000e+00
200,blas,1.000000000000000020817e-02
200,naive,2.000000000000000041633e-02
200,better,1.000000000000000020817e-02
200,blas,1.000000000000000020817e-02
200,naive,2.000000000000000041633e-02
200,better,1.000000000000000020817e-02
200,blas,1.000000000000000020817e-02
200,naive,2.000000000000000041633e-02
200,better,1.000000000000000020817e-02
200,blas,0.000000000000000000000e+00
200,naive,1.000000000000000020817e-02
200,better,1.000000000000000020817e-02
200,blas,0.000000000000000000000e+00
200,naive,1.000000000000000020817e-02
200,better,2.000000000000000041633e-02
200,blas,1.000000000000000020817e-02
200,naive,2.000000000000000041633e-02
200,better,1.000000000000000020817e-02
200,blas,1.000000000000000020817e-02
300,naive,5.999999999999999777955e-02
300,better,4.000000000000000083267e-02
300,blas,2.999999999999999888978e-02
300,naive,5.999999999999999777955e-02
300,better,4.000000000000000083267e-02
300,blas,2.999999999999999888978e-02
300,naive,7.000000000000000666134e-02
300,better,2.999999999999999888978e-02
300,blas,2.999999999999999888978e-02
300,naive,7.000000000000000666134e-02
300,better,2.999999999999999888978e-02
300,blas,2.999999999999999888978e-02
300,naive,5.999999999999999777955e-02
300,better,4.000000000000000083267e-02
300,blas,2.000000000000000041633e-02
300,naive,7.000000000000000666134e-02
300,better,2.999999999999999888978e-02
300,blas,2.999999999999999888978e-02
300,naive,5.999999999999999777955e-02
300,better,2.999999999999999888978e-02
300,blas,2.000000000000000041633e-02
300,naive,5.999999999999999777955e-02
300,better,2.999999999999999888978e-02
300,blas,2.000000000000000041633e-02
300,naive,5.999999999999999777955e-02
300,better,4.000000000000000083267e-02
300,blas,2.000000000000000041633e-02
300,naive,5.999999999999999777955e-02
300,better,4.000000000000000083267e-02
300,blas,2.999999999999999888978e-02
400,naive,1.499999999999999944489e-01
400,better,8.000000000000000166533e-02
400,blas,7.000000000000000666134e-02
400,naive,1.400000000000000133227e-01
400,better,8.000000000000000166533e-02
400,blas,7.000000000000000666134e-02
400,naive,1.400000000000000133227e-01
400,better,8.999999999999999666933e-02
400,blas,7.000000000000000666134e-02
400,naive,1.400000000000000133227e-01
400,better,8.000000000000000166533e-02
400,blas,7.000000000000000666134e-02
400,naive,1.400000000000000133227e-01
400,better,8.000000000000000166533e-02
400,blas,7.000000000000000666134e-02
400,naive,1.400000000000000133227e-01
400,better,8.999999999999999666933e-02
400,blas,7.000000000000000666134e-02
400,naive,1.400000000000000133227e-01
400,better,8.000000000000000166533e-02
400,blas,7.000000000000000666134e-02
400,naive,1.400000000000000133227e-01
400,better,8.999999999999999666933e-02
400,blas,7.000000000000000666134e-02
400,naive,1.400000000000000133227e-01
400,better,8.000000000000000166533e-02
400,blas,7.000000000000000666134e-02
400,naive,1.400000000000000133227e-01
400,better,8.000000000000000166533e-02
400,blas,5.999999999999999777955e-02
500,naive,2.800000000000000266454e-01
500,better,1.600000000000000033307e-01
500,blas,1.300000000000000044409e-01
500,naive,2.700000000000000177636e-01
500,better,1.600000000000000033307e-01
500,blas,1.400000000000000133227e-01
500,naive,2.800000000000000266454e-01
500,better,1.600000000000000033307e-01
500,blas,1.300000000000000044409e-01
500,naive,2.800000000000000266454e-01
500,better,1.600000000000000033307e-01
500,blas,1.300000000000000044409e-01
500,naive,2.700000000000000177636e-01
500,better,1.600000000000000033307e-01
500,blas,1.400000000000000133227e-01
500,naive,2.700000000000000177636e-01
500,better,1.600000000000000033307e-01
500,blas,1.300000000000000044409e-01
500,naive,2.800000000000000266454e-01
500,better,1.600000000000000033307e-01
500,blas,1.300000000000000044409e-01
500,naive,2.700000000000000177636e-01
500,better,1.600000000000000033307e-01
500,blas,1.400000000000000133227e-01
500,naive,2.800000000000000266454e-01
500,better,1.600000000000000033307e-01
500,blas,1.300000000000000044409e-01
500,naive,2.700000000000000177636e-01
500,better,1.600000000000000033307e-01
500,blas,1.300000000000000044409e-01
600,naive,4.799999999999999822364e-01
600,better,2.700000000000000177636e-01
600,blas,2.300000000000000099920e-01
600,naive,4.799999999999999822364e-01
600,better,2.800000000000000266454e-01
600,blas,2.300000000000000099920e-01
600,naive,4.799999999999999822364e-01
600,better,2.700000000000000177636e-01
600,blas,2.300000000000000099920e-01
600,naive,4.799999999999999822364e-01
600,better,2.700000000000000177636e-01
600,blas,2.300000000000000099920e-01
600,naive,4.799999999999999822364e-01
600,better,2.700000000000000177636e-01
600,blas,2.300000000000000099920e-01
600,naive,4.799999999999999822364e-01
600,better,2.700000000000000177636e-01
600,blas,2.200000000000000011102e-01
600,naive,4.799999999999999822364e-01
600,better,2.700000000000000177636e-01
600,blas,2.300000000000000099920e-01
600,naive,4.799999999999999822364e-01
600,better,2.700000000000000177636e-01
600,blas,2.300000000000000099920e-01
600,naive,4.799999999999999822364e-01
600,better,2.700000000000000177636e-01
600,blas,2.200000000000000011102e-01
600,naive,4.799999999999999822364e-01
600,better,2.800000000000000266454e-01
600,blas,2.300000000000000099920e-01
700,naive,7.700000000000000177636e-01
700,better,4.400000000000000022204e-01
700,blas,3.699999999999999955591e-01
700,naive,7.700000000000000177636e-01
700,better,4.400000000000000022204e-01
700,blas,3.599999999999999866773e-01
700,naive,7.700000000000000177636e-01
700,better,4.400000000000000022204e-01
700,blas,3.699999999999999955591e-01
700,naive,7.700000000000000177636e-01
700,better,4.400000000000000022204e-01
700,blas,3.699999999999999955591e-01
700,naive,7.800000000000000266454e-01
700,better,4.400000000000000022204e-01
700,blas,3.599999999999999866773e-01
700,naive,7.700000000000000177636e-01
700,better,4.400000000000000022204e-01
700,blas,3.599999999999999866773e-01
700,naive,7.700000000000000177636e-01
700,better,4.400000000000000022204e-01
700,blas,3.599999999999999866773e-01
700,naive,7.700000000000000177636e-01
700,better,4.500000000000000111022e-01
700,blas,3.599999999999999866773e-01
700,naive,7.700000000000000177636e-01
700,better,4.400000000000000022204e-01
700,blas,3.599999999999999866773e-01
700,naive,7.700000000000000177636e-01
700,better,4.500000000000000111022e-01
700,blas,3.699999999999999955591e-01
800,naive,1.199999999999999955591e+00
800,better,6.700000000000000399680e-01
800,blas,5.999999999999999777955e-01
800,naive,1.199999999999999955591e+00
800,better,6.600000000000000310862e-01
800,blas,5.999999999999999777955e-01
800,naive,1.189999999999999946709e+00
800,better,6.800000000000000488498e-01
800,blas,5.999999999999999777955e-01
