"day","location","date","new_cases"
"1","Poland","2020-03-04",1
"2","Poland","2020-03-05",0
"3","Poland","2020-03-06",4
"4","Poland","2020-03-07",0
"5","Poland","2020-03-08",6
"6","Poland","2020-03-09",5
"7","Poland","2020-03-10",6
"8","Poland","2020-03-11",9
"9","Poland","2020-03-12",18
"10","Poland","2020-03-13",19
"11","Poland","2020-03-14",35
"12","Poland","2020-03-15",16
"13","Poland","2020-03-16",58
"14","Poland","2020-03-17",61
"15","Poland","2020-03-18",13
"16","Poland","2020-03-19",104
"17","Poland","2020-03-20",70
"18","Poland","2020-03-21",111
"19","Poland","2020-03-22",98
"20","Poland","2020-03-23",115
"21","Poland","2020-03-24",152
"22","Poland","2020-03-25",150
"23","Poland","2020-03-26",170
"24","Poland","2020-03-27",168
"25","Poland","2020-03-28",249
"26","Poland","2020-03-29",224
"27","Poland","2020-03-30",193
"28","Poland","2020-03-31",256
"29","Poland","2020-04-01",243
"30","Poland","2020-04-02",392
"31","Poland","2020-04-03",437
"32","Poland","2020-04-04",244
"33","Poland","2020-04-05",475
"34","Poland","2020-04-06",311
"35","Poland","2020-04-07",435
"36","Poland","2020-04-08",357
"37","Poland","2020-04-09",370
"38","Poland","2020-04-10",380
"39","Poland","2020-04-11",401
"40","Poland","2020-04-12",318
"41","Poland","2020-04-13",260
"42","Poland","2020-04-14",268
"43","Poland","2020-04-15",380
"44","Poland","2020-04-16",336
"45","Poland","2020-04-17",461
"46","Poland","2020-04-18",363
"47","Poland","2020-04-19",545
"48","Poland","2020-04-20",306
"49","Poland","2020-04-21",263
"50","Poland","2020-04-22",313
"51","Poland","2020-04-23",342
"52","Poland","2020-04-24",381
"53","Poland","2020-04-25",381
"54","Poland","2020-04-26",344
"55","Poland","2020-04-27",285
"56","Poland","2020-04-28",316
"57","Poland","2020-04-29",422
"58","Poland","2020-04-30",237
"59","Poland","2020-05-01",228
"60","Poland","2020-05-02",270
"61","Poland","2020-05-03",318
"62","Poland","2020-05-04",313
"63","Poland","2020-05-05",425
"64","Poland","2020-05-06",309
"65","Poland","2020-05-07",307
"66","Poland","2020-05-08",319
"67","Poland","2020-05-09",285
"68","Poland","2020-05-10",345
