"day","location","date","total_cases"
"1","Poland","2020-03-04",1
"2","Poland","2020-03-05",1
"3","Poland","2020-03-06",5
"4","Poland","2020-03-07",5
"5","Poland","2020-03-08",11
"6","Poland","2020-03-09",16
"7","Poland","2020-03-10",22
"8","Poland","2020-03-11",31
"9","Poland","2020-03-12",49
"10","Poland","2020-03-13",68
"11","Poland","2020-03-14",103
"12","Poland","2020-03-15",119
"13","Poland","2020-03-16",177
"14","Poland","2020-03-17",238
"15","Poland","2020-03-18",251
"16","Poland","2020-03-19",355
"17","Poland","2020-03-20",425
"18","Poland","2020-03-21",536
"19","Poland","2020-03-22",634
"20","Poland","2020-03-23",749
"21","Poland","2020-03-24",901
"22","Poland","2020-03-25",1051
"23","Poland","2020-03-26",1221
"24","Poland","2020-03-27",1389
"25","Poland","2020-03-28",1638
"26","Poland","2020-03-29",1862
"27","Poland","2020-03-30",2055
"28","Poland","2020-03-31",2311
"29","Poland","2020-04-01",2554
"30","Poland","2020-04-02",2946
"31","Poland","2020-04-03",3383
"32","Poland","2020-04-04",3627
"33","Poland","2020-04-05",4102
"34","Poland","2020-04-06",4413
"35","Poland","2020-04-07",4848
"36","Poland","2020-04-08",5205
"37","Poland","2020-04-09",5575
"38","Poland","2020-04-10",5955
"39","Poland","2020-04-11",6356
"40","Poland","2020-04-12",6674
"41","Poland","2020-04-13",6934
"42","Poland","2020-04-14",7202
"43","Poland","2020-04-15",7582
"44","Poland","2020-04-16",7918
"45","Poland","2020-04-17",8379
"46","Poland","2020-04-18",8742
"47","Poland","2020-04-19",9287
"48","Poland","2020-04-20",9593
"49","Poland","2020-04-21",9856
"50","Poland","2020-04-22",10169
"51","Poland","2020-04-23",10511
"52","Poland","2020-04-24",10892
"53","Poland","2020-04-25",11273
"54","Poland","2020-04-26",11617
"55","Poland","2020-04-27",11902
"56","Poland","2020-04-28",12218
"57","Poland","2020-04-29",12640
"58","Poland","2020-04-30",12877
"59","Poland","2020-05-01",13105
"60","Poland","2020-05-02",13375
"61","Poland","2020-05-03",13693
"62","Poland","2020-05-04",14006
"63","Poland","2020-05-05",14431
"64","Poland","2020-05-06",14740
"65","Poland","2020-05-07",15047
"66","Poland","2020-05-08",15366
"67","Poland","2020-05-09",15651
"68","Poland","2020-05-10",15996
"69","Poland","2020-05-11",16326
"70","Poland","2020-05-12",16921
"71","Poland","2020-05-13",17204
"72","Poland","2020-05-14",17615
"73","Poland","2020-05-15",18016
"74","Poland","2020-05-16",18257
"75","Poland","2020-05-17",18529
"76","Poland","2020-05-18",18885
"77","Poland","2020-05-19",19268
"78","Poland","2020-05-20",19739
"79","Poland","2020-05-21",20143
"80","Poland","2020-05-22",20619
"81","Poland","2020-05-23",20931
"82","Poland","2020-05-24",21326
"83","Poland","2020-05-25",21631
"84","Poland","2020-05-26",22074
"85","Poland","2020-05-27",22473
"86","Poland","2020-05-28",22825
"87","Poland","2020-05-29",23155
"88","Poland","2020-05-30",23571
"89","Poland","2020-05-31",23786
"90","Poland","2020-06-01",24165
